instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
831,9,21.6667,0.0000,0.0000
832,6,48.2759,0.0000,13.7931
833,5,32.3944,5.6338,22.5352
834,8,32.7103,0.0000,10.2804
835,8,23.5294,0.9804,12.7451
836,4,3.9216,3.9216,3.9216
837,6,24.3902,0.0000,13.0081
838,8,16.0920,0.0000,5.7471
839,10,32.9341,5.3892,10.1796
840,4,24.5283,5.6604,5.6604
841,8,15.1316,3.9474,7.8947
842,10,19.6226,0.0000,2.2642
843,8,16.8103,0.0000,9.9138
844,4,18.5185,18.5185,18.5185
845,6,8.9109,8.9109,8.9109
846,6,27.9279,9.9099,12.6126
847,10,40.3974,0.0000,2.6490
848,9,65.1852,0.0000,20.7407
849,6,11.3636,0.0000,4.5455
850,4,16.6667,2.0833,16.6667
851,8,37.3239,1.4085,16.1972
852,6,15.0000,1.6667,15.0000
853,9,30.5677,0.0000,15.7205
854,5,9.0909,3.6364,3.6364
855,7,7.3529,0.0000,2.9412
856,6,3.3708,2.2472,3.3708
857,8,1.3393,0.0000,0.0000
858,9,34.0909,0.0000,12.5000
859,8,8.7248,0.0000,1.3423
860,4,15.3846,15.3846,15.3846
861,10,18.5075,0.0000,5.6716
862,7,17.9104,0.0000,10.4478
863,7,36.3636,0.0000,15.4545
864,9,21.6216,0.0000,9.0090
865,7,21.6216,2.7027,2.7027
866,5,10.0000,6.0000,10.0000
867,9,39.9177,0.0000,14.8148
868,7,31.7073,0.0000,9.7561
869,4,2.4390,2.4390,2.4390
870,6,25.9259,0.0000,6.1728
871,10,20.1087,0.0000,1.0870
872,10,14.2157,0.0000,2.4510
873,10,1.7241,0.0000,0.8621
874,8,52.5547,11.6788,16.0584
875,10,23.3333,0.0000,4.4444
876,10,37.6344,3.7634,9.1398
877,10,56.9444,0.0000,20.8333
878,7,19.7674,16.2791,16.2791
879,5,5.4054,0.0000,0.0000
880,5,14.2857,0.0000,14.2857
881,4,4.5977,1.1494,1.1494
882,5,12.6984,0.0000,0.0000
883,10,27.2000,0.0000,10.4000
884,6,10.2804,0.0000,3.7383
885,4,0.0000,0.0000,0.0000
886,8,37.9310,5.9113,13.3005
887,6,4.3750,0.0000,1.2500
888,5,0.0000,0.0000,0.0000
889,6,22.1311,0.0000,4.9180
890,9,37.3057,3.6269,9.3264
891,5,0.0000,0.0000,0.0000
892,8,19.5266,1.7751,12.4260
893,10,17.5824,0.0000,2.1978
894,8,29.8429,0.0000,3.1414
895,8,50.7692,0.0000,7.6923
896,6,32.4074,0.0000,7.4074
897,8,21.3592,4.8544,5.8252
898,8,9.6154,0.0000,1.9231
899,10,27.4247,0.0000,7.3579
